discovery,discovery_id,discovery_well,well_completion_date,hydrocarbon_type,field,activity_status,resources_included_in_discovery,latest_field_recoverable_oil_million_sm3,field_reserves_year,discovery_volume_status,factpage
31/4-3 Brage,44546,31/4-3,1980-05-11,OIL,BRAGE,Producing,,64.321,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44546
35/9-1 Gjøa,44786,35/9-1,1989-05-07,OIL/GAS,GJØA,Producing,,15.938,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44786
30/9-10 Oseberg Sør,44468,30/9-10,1990-09-21,OIL,OSEBERG SØR,Included in other discovery,30/9-3 Oseberg Sør,73.329,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44468
35/11-4 Fram,44750,35/11-4,1990-12-29,OIL/GAS,FRAM,Producing,,59.472,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44750
35/9-2,2449421,35/9-2,1991-04-03,OIL/GAS,GJØA,Included in other discovery,35/9-1 Gjøa,15.938,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/2449421
35/11-5,20460562,35/11-5,1991-11-03,OIL/GAS,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/20460562
35/11-7,44756,35/11-7,1992-09-29,OIL/GAS,FRAM,Included in other discovery,35/11-4 Fram,59.472,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44756
6204/11-1,44816,6204/11-1,1994-11-14,GAS,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/44816
36/7-1,44792,36/7-1,1996-05-07,OIL/GAS,GJØA,Included in other discovery,35/9-1 Gjøa,15.938,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44792
35/11-8 S,44762,35/11-8 S,1996-05-11,OIL/GAS,FRAM,Included in other discovery,35/11-4 Fram,59.472,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/44762
36/7-2 (Ulven),44798,36/7-2,1997-09-22,OIL,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/44798
31/4-11,1626899,31/4-11,2000-09-12,OIL,BRAGE,Included in other discovery,31/4-3 Brage,64.321,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/1626899
31/4-A-30 B,2820014,31/4-A-30 B,2004-04-04,OIL,BRAGE,Included in other discovery,31/4-3 Brage,64.321,2025,multiple_historical_constituents,https://factpages.sodir.no/discovery/pageview/all/2820014
30/9-21 A,5010058,30/9-21 A,2008-06-15,OIL,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/5010058
30/5-3 A,5490728,30/5-3 A,2009-05-30,GAS,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/5490728
35/9-6 S,18449542,35/9-6 S,2010-12-07,OIL/GAS,,Production is unlikely,,,,No usable recoverable-oil observation,https://factpages.sodir.no/discovery/pageview/all/18449542
